channel_name,leaning,channel_id
三立inews,R,UCoNYj9OFHZn3ACmmeRCPwbA
the late show with stephen colbert,L,UCMtFAi84ehTSYSE9XoHefig
lastweektonight,L,UC3XTzVzaHQEd30rQbuvCtTQ
saturday night live,L,UCqFzWxSCi39LnW1JKFR3efg
real time with bill maher,L,UCy6kyFxaMqGtpE3pQTflK8A
the daily show with trevor noah,L,UCwWhs_6x42TyRM4Wstoq8HA
late night with seth meyers,L,UCVTyTA7-g9nopHeHbeuvpRA
al jazeera english,L,UCNye-wNBqNL5ZzHSJj3l8Bg
the tonight show starring jimmy fallon,L,UC8-Th83bH_thdKZDJCrn88g
the view,L,UCeH6qE4V7n5tVwP7NkdrtJg
jimmy kimmel live,L,UCa6vGFO9ty8v5KZJXQxdhaw
60 minutes australia,L,UC0L1suV8pVgO4pCAIBNGx5w
breakfast club power 105.1 fm,L,UChi08h4577eFsNXGd3sxYhw
cbs this morning,L,UC-SJ6nODDmufqBzPBwCvYvQ
cbs sunday morning,L,UCVT1tPkR-fUVlO652EcO3ow
cnbc international tv,L,UCF8HUTbUwPKh2Q-KpGOCVGw
cnbc television,L,UCrp_UI8XtuYfpiqluWLD7Lw
the new york times,L,UCqnbDFdCpuN8CMEg0VuEBqA
crooked media,L,NA
tedx talks,C,UCsT0YIqwnpJCM-mx7-gSA4Q
theellenshow,C,UCp0hYYBW6IMayGgR-WeoCvQ
bloomberg markets and finance,C,UCIALMKvObZNtJ6AmdCLP7Lg
bbc news,C,UC16niRr50-MSBwiO3YDb3RA
bbc america,C,UCdHkLMxTYwV66Sky1xXVrxQ
cnn business,C,NA
bloomberg politics,C,UCV61VqLMr2eIhH4f51PV0gA
the hannity,R,NA
fox business,R,UCCXoCcu9Rp7NPbTzIvogpZg
fox 10 phoenix,R,UCJg9wBPyKMNA5sRDnvzmkdg
yaftv,R,UC4-AGCUwX7C-D4BsBook9fQ
fox business,R,UCCXoCcu9Rp7NPbTzIvogpZg
fox news insider,R,UCqlYzSgsh5jdtWYfVIBoTDw
american conservative union,R,NA
dinesh d'souza,R,UC8GAOCAJxBL4bExaUCvwL4Q
fox news shows,R,NA
jordan b peterson,R,UCL_f53ZEJxp8TtlOkHwMV9Q
sean hannity,R,NA
glenn beck,R,NA
ben shapiro,R,UCnQC_G5Xsjhp9fEJKuIcrSw
ben shapiro thug life,R,NA
social justice fails,R,NA
