video_id,in_deg,out_deg
FHkZUg1NZ38,1,1
RSEgEb2WUx8,1,1
AAkEYcmCCCk,1,1
o0td5aw1KXA,2,1
_w1MtX4dPCk,1,1
1CN7PF10RKo,1,1
Btfhp-e1E1M,1,1
tmWoWOM16uE,1,1
uxPdPpi5W4o,2,3
duQow41bTx0,1,3
4jwUXV4QaTw,4,3
Ue5ght7izjc,2,3
ik1SkGcGLM4,4,3
AeJ9q45PfD0,1,3
9eYdGGfObKk,8,3
FWu2rkffYvg,1,3
llctqNJr2IU,4,3
L3cQFsX6gl4,2,3
eUIhtw9cisU,2,3
aGaVNhPgbDw,1,3
VHJkuD542hI,2,3
97t7Xj_iBv0,1,3
1uEmX5XClPY,4,3
D9LvOk7HmzQ,2,3
X1XoCQm5JSQ,4,3
9jyKLPlOsuo,1,3
Z_5fNe-xnYk,2,3
_eQ2Dry2R_8,1,3
Yiafb0-gqF4,1,3
3msLkDGkjno,1,3
OysqVOs4vqI,1,1
fyaKMHvpvgg,2,3
xYemnKEKx0c,2,3
guZa7mQV1l0,1,3
glMU6ZL4UYs,1,3
PO0IePSZW_s,1,3
RtFbsFgHzng,1,3
1NtdmNVNosA,2,1
oTmD5VSgaYk,1,2
907p_2UhZCU,1,1
sk2TMF0OF8A,1,1
ETsguTDe17Y,2,1
udBaGyzJyU8,1,3
te3RlQmnw4g,1,2
dlg7Rd8sHL0,1,1
9KABcmczPdg,1,1
fRqwYsfiME8,1,2
c6wuh0NRG1s,1,1
R_g4nT4a28U,1,1
z0zPM_m_YOA,1,2
DvtbQs7hWXw,1,1
bH7pS4hhrz0,1,2
vPTgJkW6CL8,1,1
2N0e4eSodHU,1,1
YlrX0yR4HjA,1,1
Nf6sX4DyDFU,1,1
jJg31y1BEHE,1,1
r2qXfajjIqQ,1,2
hxUAntt1z2c,4,1
Efs3PyR8iBw,2,1
8e4CEm9yybo,3,1
1DqdDfiHFQE,1,1
I9_iZ2nH3lw,3,1
DtwD-c9hn58,1,1
3GghzMz0x9Y,2,1
o_zPlI9C4gY,1,1
hm_WF-IP66M,1,1
Zy52sdjv0ww,1,1
SqHL1puhq64,1,1
95jvtXknEtA,1,1
7ToBt0KWJw8,2,1
9_c0OAa76kA,1,2
3g24EaA0A7o,1,1
HCZHGA3zD1k,2,1
MoBrgE8sFWU,1,1
O_iKeiPhisw,1,1
