parent_channel,child_channel,out_deg
ABC News,"['CBC News', 'CBC News', 'VICE News', 'SBS Dateline', 'SBS Dateline', 'PBS NewsHour', 'Johnny Carson', 'Johnny Carson', 'Johnny Carson', 'Johnny Carson', 'Johnny Carson', 'CBS News', 'C-SPAN', 'CNN', 'FOX 10 Phoenix', 'CNN', '60 Minutes Australia', 'ABC News', 'The Daily Show with Trevor Noah', 'CBS News', 'CBS News', 'CBS News', 'CBS News', '60 Minutes', 'The Kennedy Center', 'Global News', 'Johnny Carson', 'Johnny Carson', 'Global News', 'Global News', 'MSNBC', 'TED', 'ABC News', 'ColdFusion', 'ColdFusion', 'ColdFusion', 'ColdFusion', 'ABC News', 'CBC News', 'ABC News', 'ABC News', 'CBC News', 'ABC News', 'Fox News', 'ABC News', 'Bloomberg Technology', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'Science Channel', 'Science Channel', '60 Minutes Australia', '60 Minutes Australia', 'PokerStars', 'ABC News', 'ABC News', 'ABC News', 'KETV NewsWatch 7', 'CNN', 'ABC News', 'Top 5 Unknowns', 'Fox News', 'MSNBC', 'MSNBC', 'Sam Chui', 'CBC News', 'CBC News', 'CBC News', 'MSNBC', 'TED', 'CNBC Television', '60 Minutes Australia', ""John D'Ark"", 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'Washington Post', 'ABC News', 'ABC News', 'ABC News', 'CNN', 'ABC News', 'ABC News', 'ABC News', 'Bloomberg', 'Forbes', 'ABC News', 'BBC News', 'ABC News', 'Fox Business', 'Fox Business', 'FOX 10 Phoenix', 'CBS This Morning', 'ABC News', 'ABC News', 'CBS', 'CBC News', 'CBS', 'ABC Science', 'HLN', 'CBS News', 'CBS This Morning', 'Ancestry', 'ABC News', 'Strombo', 'GenesReunitedYT', 'CBC News', 'Sky News', 'CBS Los Angeles', 'ABC News', 'ABC News', 'Senator Catherine Cortez Masto', 'ABC News', 'ABC News', 'ABC News', 'ABC News (Australia)', 'ABC News', '60 Minutes Australia', 'ABC News', 'ABC News', 'CBSN', 'CNN Business', '60 Minutes Australia', 'Entertainment Weekly', 'PowerfulJRE', 'ABC News', 'Studio 10', 'TEDx Talks', 'TODAY', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'True Crime Daily', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'MSNBC', 'NBC News', 'CBS News', 'ABC News', 'Daily Mail', 'ABC News', 'Moyers & Company', 'ABC News', 'CNBC', 'Public Freakout Videos', 'ABC News', 'ABC News', '16x9onglobal', '60 Minutes Australia', 'Fox News', 'ABC News', 'ABC News', 'ABC News', 'ABC News']",13
ABC News (Australia),"['VICE News', 'ABC News (Australia)', 'Channel 4 News', 'ABC News (Australia)', 'Vox', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'vpro documentary', 'Channel 4 News', 'abcqanda']",13
ABC Science,"['ABC Science', 'strong cookie', ""JD'ASYFK Innovations"", 'FoundMyFitness', 'Dr. Greg Castello', 'ThunderboltsProject', 'ABC Science', 'ABC Science']",13
ABC13 Houston,"['Fox News Insider', 'Reagan Library']",13
ABM2010yo,['Eric J Moses'],13
ABP Asmita,"['Parshottam Rupala', 'ABP Asmita']",13
ABP NEWS,"['News24', 'SET India']",13
ABS-CBN News,"['GMA Public Affairs', 'GMA Public Affairs', 'GMA Public Affairs', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News']",13
ADVEXON TV,"['ADVEXON TV', 'ADVEXON TV', 'ADVEXON TV', 'ADVEXON TV', 'vpro documentary', 'ADVEXON TV', 'TheRichest', 'shazmosushi', 'Fillask', 'NASA']",13
ADVideofilm,"['CountryRepair23', 'Heavy Equipment']",13
