parent_channel,child_channel,out_deg
UC0Vc5pxzbUOMxk7c_8Y0V9Q,"['UCwUezISCAomLNiEAKjcMzpQ', 'UCuVPpxrm2VAgpH3Ktln4HXg']",13
UC0WF_-J0cScBWghwps3x1Ug,['UCIHdDJ0tjn_3j-FS7s_X1kQ'],13
UC0YSrkQExLWydEhtoOTAZaQ,"['UCK9clHWD7H4HxFlr2KreJ2w', 'UCi_iKv5NXxFbplYn6KXiXRw']",13
UC0Ysu6HkKtdQsbw004aV9qw,['UCuesjQmcEQXOXv7Z55dbGNA'],13
UC0YyLJahfbw3px8Tkuql2FA,['UC0YyLJahfbw3px8Tkuql2FA'],13
UC0ZpvUdvtoPjR0wN-qliXpQ,['UCi_iKv5NXxFbplYn6KXiXRw'],13
UC0bSUHhQDncR0hhXbmIZ1aQ,['UC7D7uBI6-47leDWg1sbuJLg'],13
UC0dM0UlwtFoGDReW1cDBeDA,['UCOTPo2y-NHJjg1EuENrxypA'],13
UC0gEIfuTm5sQfIFFSb4gaEg,"['UC0gEIfuTm5sQfIFFSb4gaEg', 'UC0gEIfuTm5sQfIFFSb4gaEg', 'UC0gEIfuTm5sQfIFFSb4gaEg', 'UC0gEIfuTm5sQfIFFSb4gaEg', 'UC0gEIfuTm5sQfIFFSb4gaEg', 'UC0gEIfuTm5sQfIFFSb4gaEg']",13
UC0gbHza2RFJU1Cx5SarEAHg,['UCxr9DfmbCbHjb0LA7wIhfog'],13
UC0h0a535Q4o1xtCvGLnL7Ng,"['UC0h0a535Q4o1xtCvGLnL7Ng', 'UC0h0a535Q4o1xtCvGLnL7Ng', 'UC0h0a535Q4o1xtCvGLnL7Ng', 'UC0h0a535Q4o1xtCvGLnL7Ng', 'UC0h0a535Q4o1xtCvGLnL7Ng', 'UC0h0a535Q4o1xtCvGLnL7Ng', 'UCBQyZFKoslZCi9aScaTNNHw']",13
UC0h168Icno034QCBGajexXQ,"['UCdwaurahKlEfyLvwshCnsGA', 'UC5bCFerfHqJEIflAusOyA2w']",13
UC0hFVUKzySy-Nz5pZEXhQ6Q,"['UCQ4CzycCnd5amXPowNrRn0g', 'UC0hFVUKzySy-Nz5pZEXhQ6Q']",13
UC0j7pVH3RrTc7UlST4lUPsw,['UCv0CI2DgS1-mu2ji6mhuvyQ'],13
UC0jYsshDZfOBZC9nIJn94Cg,['UCyhPKRdzGskJekibUnJiZyQ'],13
UC0lxXRAUsWnE3S3oDGg-DlA,"['UCY_Bq1AF0xvPUjaAqV7kweA', 'UCVgO39Bk5sMo66-6o6Spn6Q']",13
UC0o321TAAA_I90rtY-cjslg,['UC5ANlCK0ac9X9V3eBLxGU6Q'],13
UC0oYK0eaqdLFh7Iq-75UP5Q,['UCl9loSMH3YeMMIXiRRQeW1Q'],13
UC0p5jTq6Xx_DosDFxVXnWaQ,"['UCy6kyFxaMqGtpE3pQTflK8A', 'UC9RM-iSvTu1uPJb8X5yp3EQ', 'UC0p5jTq6Xx_DosDFxVXnWaQ', 'UC0p5jTq6Xx_DosDFxVXnWaQ']",13
UC0pbeB2NTRBKStbGFqb3Wcw,['UCBm6KePibLTS20Tt_KttNqA'],13
UC0r6S4hmYdRcDnw7zey7Myg,['UCw_lQ_KhJBX4hAQ6rqbg0Bw'],13
UC0rNCY_g2zz-bpQ0Eq6vfZA,['UCupvZG-5ko_eiXAupbDfxWw'],13
UC0sI3zTNDInUSYfQ2b9STBA,"['UCdrlTd14Cpo8DxeboPI-YzQ', 'UCCU9-_7cUNHZt7VDUEEf0lw']",13
UC0tD4fXY_Cb-f8dlPdBjldw,"['UCNag8v1e1EoiHx_jL5nL9SA', 'UC7eBNeDW1GQf2NJQ6G6gAxw']",13
UC0u4GWBzgYQxM_Rg8npQchg,['UCmISrsbz2JxhZcAffIKQAQQ'],13
UC0uJKUXiU5T41Fzawy5H6mw,"['UC3-XP_zRye-BywerpbuOuCg', 'UC0uJKUXiU5T41Fzawy5H6mw', 'UCRVewEWU9NEWeKh3cCAif0w', 'UC5M9dwClaJsTredxZszPL6Q', 'UC5M9dwClaJsTredxZszPL6Q', 'UCm22FAXZMw1BaWeFszZxUKw', 'UC0uJKUXiU5T41Fzawy5H6mw', 'UCEPzS1rYsrkqzSLNp76nrcg', 'UC0uJKUXiU5T41Fzawy5H6mw']",13
