parent_channel,child_channel,out_deg
ABS-CBN News,"['Skip and Shannon', 'Vox', ""ABS-CBN It's Showtime"", 'GMA News', 'ABS-CBN News', 'GMA Public Affairs', 'GMA Public Affairs', 'GMA Public Affairs', 'ABS-CBN Entertainment', 'ABS-CBN News', 'ABS-CBN News', 'GMA News', 'GMA Public Affairs', ""ABS-CBN It's Showtime"", 'ABS-CBN News', 'ABS-CBN News', 'CNN Philippines', 'CNN Philippines', 'GMA News', 'GMA News', 'GMA Public Affairs', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'UNTV Web', 'Unspeakable', 'Rappler', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN Star Cinema', 'ABS-CBN News', 'ABS-CBN News', 'DaveHax', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'ABS-CBN News', 'GMA Public Affairs', 'GMA Public Affairs', 'rkimmigration', 'ABS-CBN News']",13
ABS-CBN Star Cinema,"[""ABS-CBN It's Showtime"", 'YouTube Movies']",13
ACTUALLY HAPPENED,"['My Story Animated', 'ACTUALLY HAPPENED']",13
ADVideofilm,"['TTH - Machinery', 'Industrial Transportation & Towing']",13
AFP news agency,"['The New York Times', 'UndocuBuzz']",13
AFTV,"['Best Football', 'Footballnetic', 'Footballnetic', 'HaytersTV']",13
AIAA,"['IGN', '475thfightergroup']",13
AIERvideo,"['Retirement Answer Man', 'KURI Slot']",13
AIRBOYD,"['Dan Schilling Books', 'Spartan 71C', 'Dale Philip', '475thfightergroup', 'nemhiszedel', 'rogueguineapig']",13
AJ Foss,"['Candid Camera Classics', 'AJ Foss']",13
AJ+,"['WIRED UK', 'DW Documentary', 'AJ+', 'The Economist']",13
AL.com,"['CNBC', 'TheDC Shorts', 'TODAY', 'NFL Films']",13
ALEXACHUNG,"['I Love Cakes', 'Lisa Eldridge']",13
ALLELUIA LIVE,"['Rivers In the Desert', 'ALLELUIA LIVE', 'SpaceCowboy17', 'ALLELUIA LIVE', 'ALLELUIA LIVE', 'KORA SAUVAGE']",13
ALO. RS,"['Fun Stuff', 'TV1']",13
AMARIN TVHD,"['AMARIN TVHD', 'AMARIN TVHD', 'AMARIN TVHD', 'one31']",13
AMAZING MACHINE,"['chc112358', '鄭時宜']",13
AMMO NYC,"['Yiannimize', 'Mike Fn Garage']",13
ANC 24/7,"['BBC News', 'PBC ON FOX', 'Skip and Shannon', 'Skip and Shannon', 'ANC 24/7', 'CNN Philippines', 'CNN Philippines', 'ANC 24/7', 'ANC 24/7', 'ANC 24/7']",13
ANDY D TV,"['ANDY D TV', 'Adeyinka Makinde', 'ANDY D TV', 'Nakay Tv', 'MyJoyOnline TV', 'Smart Ghana Update']",13
ANHVGTA,"['PilotsEYE.tv', 'ANHVGTA', 'Stef DiPietrantonio', 'BBB-Gaming', 'PlaneSpottingBerlin ✈ Aviation Videos', 'ANHVGTA']",13
ANIMAL MIX CHANNEL,"['naeem piaray', 'cruddycornstalks']",13
ANTHONY JAMISON,"['GaryVee', 'etthehiphoppreacher']",13
ANU TV,"['jennifergala', 'Physics Girl']",13
AP Archive,"['Fox News', 'CNN']",13
AQUAHOLIC,"['Channel 4 News', ""Dragons' Den"", 'TradingCoachUK', 'Rebuilder Guy', 'Javier Rullan Ruano', 'Storage Auction Pirate']",13
ARD,"['marktcheck', 'kabel eins Doku', 'SWR', 'ARD', 'ZDF', 'ARD', 'ARD', 'Onefootball Deutschland', 'ARD', 'NDR Ratgeber']",13
ARTE,"['VéritésQuiDérangent', 'Mes Vidéos']",13
ARTGER,"['食味阿远官方频道——Shi Wei A Yuan', 'ARTGER', 'ARTGER', 'MongolPeace', 'ARTGER', 'ARTGER']",13
ARY Digital,"['Top Pakistani Dramas', 'ARY Digital']",13
ARY News,"['ARY News', 'ARY News', 'SAMAA TV', 'Top Pakistani News', 'Top Pakistani News', 'ARY News', 'ARY News', 'NBC News', 'The Late Show with Stephen Colbert', 'PBS NewsHour', '92 News HD', 'ARY News', 'ARY News', 'Channel 4 News', 'SAMAA TV', 'SAMAA TV', 'ARY News', 'ARY News', 'ARY News', 'SAMAA TV', 'ARY News', 'Dr Shahid Masood', 'Al Jazeera English', 'ARY News']",13
ATHLEAN-X™,"['BuzzFeedVideo', 'ATHLEAN-X™', 'KURA WORKOUT', ""Mark Bell's Power Project"", 'ATHLEAN-X™', 'ATHLEAN-X™', 'Dennis Kohlruss', 'ATHLEAN-X™']",13
ATWA,"['Dateline NBC', 'ATWA', 'ATWA', 'ATWA', 'ATWA', 'ATWA', 'ATWA', 'TODAY', 'WatchMojo.com', 'ATWA']",13
ATXFestival,"[""Joe's Firewood Videos"", 'Entertainment Tonight']",13
AZIATKA,"['AZIATKA live', '20 Seconds in Thailand']",13
Abenteuer Leben,"['Yopja Nuhu', 'kabel eins Doku', 'Abenteuer Leben', 'Abenteuer Leben']",13
Abeona,"['jemi1210', ""Hoosier Tim's Travel Videos""]",13
Abinaya Rajendran,"['Inner Engineering', 'Marilyn Devonish']",13
Abraham Lincoln Presidential Library and Museum,"['Libertarianism.org', 'StuffWriter']",13
Absofruitly,"['Flashback Film Making Backup', 'TheEllenShow']",13
Abyssinia,"['Comedy Central UK', 'Breakfast Club Power 105.1 FM']",13
AcademeG,"['ИЛЬДАР АВТО-ПОДБОР', 'AcademeG']",13
