name,leaning,url
commonwealth-fund,L,http://www.commonwealthfund.org/
communities-digital-news,R,http://www.commdiginews.com/
competitive-enterprise-institute,R,https://cei.org/
concerned-women-america,R,https://concernedwomen.org/blog/
concord-monitor,C,http://www.concordmonitor.com
conflict-news,C,http://www.conflict-news.com/
congress-gov,C,https://www.congress.gov/
congressional-budget-office-cbo,C,https://www.cbo.gov/
conservapedia,R,http://www.conservapedia.com/Main_Page
conservation-magazine,C,http://www.anthropocenemagazine.org/
conservative-101,R,https://conservative101.com/
conservative-army,R,http://conservativearmy88.com/
conservative-base,R,https://conservativebase.com/
conservative-byte,R,http://conservativebyte.com
conservative-daily-news,R,http://www.conservativedailynews.com/
conservative-daily-post,R,https://conservativedailypost.com/
conservative-fighters,R,http://conservativefighters.com/
conservative-firing-line,R,http://conservativefiringline.com/
conservative-flash-news,R,http://conservativeflashnews.com/
conservative-free-press,R,http://www.conservativefreepress.com
conservative-hq,R,http://www.conservativehq.com/
conservative-info-corner,R,https://www.conservativeinfocorner.us/
conservative-institute,R,https://www.conservativeinstitute.org
conservative-media,R,https://conservativemedia.com/
conservative-movement,R,http://consmovement.com/
conservative-nation,R,http://www.consnation.com/
conservative-outfitters,R,https://www.conservativeoutfitters.com/blogs/news
conservative-patriot,R,http://conspatriot.com/
conservative-politicus,R,http://www.conservativepoliticus.com/
conservative-post,R,https://conservativepost.com
conservative-review,R,https://www.conservativereview.com/
conservative-spirit,R,http://conservativespirit.com/
conservative-today,R,https://conservativetoday.com
conservative-tribune,R,https://www.westernjournal.com/ct/
conservativeopinion-com,R,https://conservativeopinion.com/
conservatives-here,R,https://www.conservativeshere.com/
consortium-news,C,https://consortiumnews.com/
conspiracy-inquirer,R,https://conspiracyinquirer.com
constitution-daily,C,https://constitutioncenter.org
constitution-project,C,http://www.constitutionproject.org/
constitution-rising,R,http://rickwells.us/
consumer-reports,C,https://www.consumerreports.org
consumerist,C,https://consumerist.com/
content-news,L,http://content.news
controversial-times,R,http://controversialtimes.com/
cook-political-report,C,http://cookpolitical.com/
cook-report,C,NA
corporate-presidency,L,https://corporatepresidency.org
corpus-christi-caller-times,L,https://www.caller.com
cosmopolitan,L,http://www.cosmopolitan.com/
council-for-the-national-interest,L,http://www.councilforthenationalinterest.org/
council-on-american-islamic-relations-cair,R,https://www.cair.com/
council-on-foreign-relations,R,http://www.cfr.org/
countable,C,NA
countable-news,C,https://www.countable.us
counter-currents,L,NA
countercurrents-org,L,http://www.countercurrents.org/
counterpunch,L,http://www.counterpunch.org/
courier-journal,L,NA
courthouse-news-service,C,https://www.courthousenews.com
cowger-nation,R,http://cowgernation.com/
cp24,C,https://www.cp24.com/
credo-action,L,http://credoaction.com/
crime-prevention-research-center,R,http://crimeresearch.org/
crimeola,C,https://crimeola.com
crimethinc,L,https://crimethinc.com/
crisis-magazine,R,http://www.crisismagazine.com/
crooked-media,L,https://crooked.com/
crooks-and-liars,L,http://crooksandliars.com/
crosscut-com,L,http://crosscut.com/
crowdpac,C,NA
csc-mediagroup-usa,R,http://www.cscmediagroupus.com/
cspan,C,NA
ct-mirror,L,https://ctmirror.org/
ctv-news,L,http://www.ctvnews.ca/
cu-independent,C,NA
current-affairs,L,NA
current-affairs-magazine,L,https://www.currentaffairs.org/
curve-magazine,L,http://www.curvemag.com
d-c-circuit-breaker,C,https://dccircuitbreaker.org
daily-49er,L,http://www.daily49er.com/
daily-beast,L,http://www.thedailybeast.com/
daily-business-review,C,http://www.dailybusinessreview.com/
daily-buzz-live,R,http://dailybuzzlive.com/
daily-caller,R,http://dailycaller.com/
daily-cardinal,C,NA
daily-citizen-dalton,R,http://www.daltondailycitizen.com/
daily-dems,L,https://www.dailydems.com/
daily-dot,L,http://www.dailydot.com/
daily-express,R,http://www.express.co.uk/
daily-headlines,R,http://dailyheadlines.net/
daily-herald,R,http://www.dailyherald.com/
daily-hive,L,http://dailyhive.com/
daily-infobox,R,http://www.dailyinfobox.com/
daily-insider-news,R,NA
daily-journal-illinois,C,http://www.daily-journal.com
daily-journal-missouri,C,https://dailyjournalonline.com
daily-kos,L,https://www.dailykos.com/
daily-mail,R,http://www.dailymail.co.uk/ushome/index.html
daily-mirror,L,https://www.mirror.co.uk
daily-news-bin,L,http://www.dailynewsbin.com/
daily-northwestern,L,NA
daily-notify,R,http://www.dailynotify.com/
daily-political-newswire,R,https://dailypoliticalnewswire.com
daily-press,R,http://www.dailypress.com/
daily-presser,R,http://www.dailypresser.com/
daily-progress,C,NA
daily-record,C,http://www.dailyrecord.com/
daily-record-scotland,L,http://www.dailyrecord.co.uk/
daily-sabah,R,http://www.dailysabah.com/
daily-show,L,NA
daily-signal,R,http://dailysignal.com/
daily-stormer,R,https://dailystormer.name/
daily-surge,R,http://dailysurge.com/
daily-targum,L,NA
daily-telegraph,R,http://www.telegraph.co.uk/
daily-usa-update,R,http://dailyusaupdate.com/
daily-wire,R,NA
daily-world-information,R,http://dailyworldinformation.com
dallas-morning-news,R,http://www.dallasnews.com/
dallas-voice,L,http://www.dallasvoice.com/
dam-reports,R,http://www.damreports.com/
danger-and-play,R,https://www.dangerandplay.com/
dangerous,R,https://www.dangerous.com
darien-times,C,http://www.darientimes.com/
david-horowitz-freedom-center,R,http://www.horowitzfreedomcenter.org/
david-wolfe,L,NA
dawn,L,https://www.dawn.com/
day-new-london,C,http://www.theday.com
dayton-daily-news,C,https://www.daytondailynews.com
dc-blue-dot,R,http://www.dcbluedot.com
dc-dirty-laundry,R,https://dcdirtylaundry.com
